e11,e22,e33,vel0,vel1,vel2,vel3,vel4,vel5,vel6,vel7,vel8,vel9,vel10,vel11,
0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
-0.000488582,-0.000488582,0.0010001,,0.0336776,0.0336776,2.26651e-165,0.0336776,0.0336776,2.26651e-165,0.0336776,0.0336776,2.26651e-165,0.0336776,0.0336776,2.26651e-165
-0.000979607,-0.000979607,0.002,,0.0101687,0.0101687,2.45438e-210,0.0101687,0.0101687,2.45438e-210,0.0101687,0.0101687,2.45438e-210,0.0101687,0.0101687,2.45438e-210
-0.00147077,-0.00147077,0.0030001,,0.00486274,0.00486274,1.6986e-210,0.00486274,0.00486274,1.6986e-210,0.00486274,0.00486274,1.6986e-210,0.00486274,0.00486274,1.6986e-210
-0.00196197,-0.00196197,0.0040001,,0.00285563,0.00285563,1.30146e-210,0.00285563,0.00285563,1.30146e-210,0.00285563,0.00285563,1.30146e-210,0.00285563,0.00285563,1.30146e-210
-0.00245321,-0.00245321,0.005,,0.00188645,0.00188645,1.0572e-210,0.00188645,0.00188645,1.0572e-210,0.00188645,0.00188645,1.0572e-210,0.00188645,0.00188645,1.0572e-210
-0.00294463,-0.00294463,0.006,,0.00134562,0.00134562,8.92152e-211,0.00134562,0.00134562,8.92152e-211,0.00134562,0.00134562,8.92152e-211,0.00134562,0.00134562,8.92152e-211
-0.00343619,-0.00343619,0.007,,0.00101346,0.00101346,7.73466e-211,0.00101346,0.00101346,7.73466e-211,0.00101346,0.00101346,7.73466e-211,0.00101346,0.00101346,7.73466e-211
-0.00392792,-0.00392792,0.008,,0.000794994,0.000794994,6.8424e-211,0.000794994,0.000794994,6.8424e-211,0.000794994,0.000794994,6.8424e-211,0.000794994,0.000794994,6.8424e-211
-0.00441983,-0.00441983,0.009,,0.000643717,0.000643717,6.14898e-211,0.000643717,0.000643717,6.14898e-211,0.000643717,0.000643717,6.14898e-211,0.000643717,0.000643717,6.14898e-211
-0.00491199,-0.00491199,0.0100001,,0.000534682,0.000534682,5.59604e-211,0.000534682,0.000534682,5.59604e-211,0.000534682,0.000534682,5.59604e-211,0.000534682,0.000534682,5.59604e-211
-0.00540432,-0.00540432,0.0110001,,0.000453555,0.000453555,5.14613e-211,0.000453555,0.000453555,5.14613e-211,0.000453555,0.000453555,5.14613e-211,0.000453555,0.000453555,5.14613e-211
-0.00589688,-0.00589688,0.0120001,,0.00039159,0.00039159,4.77393e-211,0.00039159,0.00039159,4.77393e-211,0.00039159,0.00039159,4.77393e-211,0.00039159,0.00039159,4.77393e-211
-0.00638968,-0.00638968,0.0130001,,0.00034322,0.00034322,4.46179e-211,0.00034322,0.00034322,4.46179e-211,0.00034322,0.00034322,4.46179e-211,0.00034322,0.00034322,4.46179e-211
-0.00688274,-0.00688274,0.0140001,,0.000304766,0.000304766,4.19705e-211,0.000304766,0.000304766,4.19705e-211,0.000304766,0.000304766,4.19705e-211,0.000304766,0.000304766,4.19705e-211
-0.00737606,-0.00737606,0.0150001,,0.000273714,0.000273714,3.97035e-211,0.000273714,0.000273714,3.97035e-211,0.000273714,0.000273714,3.97035e-211,0.000273714,0.000273714,3.97035e-211
-0.00786964,-0.00786964,0.0160001,,0.0002483,0.0002483,3.77464e-211,0.0002483,0.0002483,3.77464e-211,0.0002483,0.0002483,3.77464e-211,0.0002483,0.0002483,3.77464e-211
-0.0083635,-0.0083635,0.0170001,,0.000227257,0.000227257,3.60449e-211,0.000227257,0.000227257,3.60449e-211,0.000227257,0.000227257,3.60449e-211,0.000227257,0.000227257,3.60449e-211
-0.00885763,-0.00885763,0.0180001,,0.000209654,0.000209654,3.45569e-211,0.000209654,0.000209654,3.45569e-211,0.000209654,0.000209654,3.45569e-211,0.000209654,0.000209654,3.45569e-211
-0.00935203,-0.00935203,0.0190001,,0.000194797,0.000194797,3.32486e-211,0.000194797,0.000194797,3.32486e-211,0.000194797,0.000194797,3.32486e-211,0.000194797,0.000194797,3.32486e-211
-0.00984671,-0.00984671,0.0200001,,0.000182157,0.000182157,3.20932e-211,0.000182157,0.000182157,3.20932e-211,0.000182157,0.000182157,3.20932e-211,0.000182157,0.000182157,3.20932e-211
-0.0103417,-0.0103417,0.0210001,,0.000171329,0.000171329,3.10688e-211,0.000171329,0.000171329,3.10688e-211,0.000171329,0.000171329,3.10688e-211,0.000171329,0.000171329,3.10688e-211
-0.0108369,-0.0108369,0.0220001,,0.000161993,0.000161993,3.01573e-211,0.000161993,0.000161993,3.01573e-211,0.000161993,0.000161993,3.01573e-211,0.000161993,0.000161993,3.01573e-211
-0.0113324,-0.0113324,0.0230001,,0.0001539,0.0001539,2.93438e-211,0.0001539,0.0001539,2.93438e-211,0.0001539,0.0001539,2.93438e-211,0.0001539,0.0001539,2.93438e-211
-0.0118281,-0.0118281,0.0240001,,0.000146848,0.000146848,2.86158e-211,0.000146848,0.000146848,2.86158e-211,0.000146848,0.000146848,2.86158e-211,0.000146848,0.000146848,2.86158e-211
-0.0123241,-0.0123241,0.0250001,,0.000140676,0.000140676,2.79629e-211,0.000140676,0.000140676,2.79629e-211,0.000140676,0.000140676,2.79629e-211,0.000140676,0.000140676,2.79629e-211
-0.0128203,-0.0128203,0.0260001,,0.000135253,0.000135253,2.73759e-211,0.000135253,0.000135253,2.73759e-211,0.000135253,0.000135253,2.73759e-211,0.000135253,0.000135253,2.73759e-211
-0.0133168,-0.0133168,0.0270001,,0.00013047,0.00013047,2.68473e-211,0.00013047,0.00013047,2.68473e-211,0.00013047,0.00013047,2.68473e-211,0.00013047,0.00013047,2.68473e-211
-0.0138135,-0.0138135,0.0280001,,0.000126237,0.000126237,2.63705e-211,0.000126237,0.000126237,2.63705e-211,0.000126237,0.000126237,2.63705e-211,0.000126237,0.000126237,2.63705e-211
-0.0143104,-0.0143104,0.0290001,,0.00012248,0.00012248,2.59398e-211,0.00012248,0.00012248,2.59398e-211,0.00012248,0.00012248,2.59398e-211,0.00012248,0.00012248,2.59398e-211
-0.0148075,-0.0148075,0.0300001,,0.000119137,0.000119137,2.55502e-211,0.000119137,0.000119137,2.55502e-211,0.000119137,0.000119137,2.55502e-211,0.000119137,0.000119137,2.55502e-211
-0.0153048,-0.0153048,0.0310001,,0.000116155,0.000116155,2.51974e-211,0.000116155,0.000116155,2.51974e-211,0.000116155,0.000116155,2.51974e-211,0.000116155,0.000116155,2.51974e-211
-0.0158023,-0.0158023,0.0320001,,0.000113488,0.000113488,2.48776e-211,0.000113488,0.000113488,2.48776e-211,0.000113488,0.000113488,2.48776e-211,0.000113488,0.000113488,2.48776e-211
-0.0162999,-0.0162999,0.0330001,,0.000111099,0.000111099,2.45874e-211,0.000111099,0.000111099,2.45874e-211,0.000111099,0.000111099,2.45874e-211,0.000111099,0.000111099,2.45874e-211
-0.0167978,-0.0167978,0.0340001,,0.000108955,0.000108955,2.43239e-211,0.000108955,0.000108955,2.43239e-211,0.000108955,0.000108955,2.43239e-211,0.000108955,0.000108955,2.43239e-211
-0.0172958,-0.0172958,0.0350001,,0.000107027,0.000107027,2.40845e-211,0.000107027,0.000107027,2.40845e-211,0.000107027,0.000107027,2.40845e-211,0.000107027,0.000107027,2.40845e-211
-0.0177938,-0.0177938,0.036,,0.000105292,0.000105292,2.38667e-211,0.000105292,0.000105292,2.38667e-211,0.000105292,0.000105292,2.38667e-211,0.000105292,0.000105292,2.38667e-211
-0.0182921,-0.0182921,0.037,,0.000103727,0.000103727,2.36686e-211,0.000103727,0.000103727,2.36686e-211,0.000103727,0.000103727,2.36686e-211,0.000103727,0.000103727,2.36686e-211
-0.0187905,-0.0187905,0.038,,0.000102314,0.000102314,2.34882e-211,0.000102314,0.000102314,2.34882e-211,0.000102314,0.000102314,2.34882e-211,0.000102314,0.000102314,2.34882e-211
-0.019289,-0.019289,0.039,,0.000101037,0.000101037,2.3324e-211,0.000101037,0.000101037,2.3324e-211,0.000101037,0.000101037,2.3324e-211,0.000101037,0.000101037,2.3324e-211
-0.0197877,-0.0197877,0.04,,9.98816e-05,9.98816e-05,2.31743e-211,9.98816e-05,9.98816e-05,2.31743e-211,9.98816e-05,9.98816e-05,2.31743e-211,9.98816e-05,9.98816e-05,2.31743e-211
-0.0202864,-0.0202864,0.041,,9.88353e-05,9.88353e-05,2.30378e-211,9.88353e-05,9.88353e-05,2.30378e-211,9.88353e-05,9.88353e-05,2.30378e-211,9.88353e-05,9.88353e-05,2.30378e-211
-0.0207853,-0.0207853,0.042,,9.78868e-05,9.78868e-05,2.29134e-211,9.78868e-05,9.78868e-05,2.29134e-211,9.78868e-05,9.78868e-05,2.29134e-211,9.78868e-05,9.78868e-05,2.29134e-211
-0.0212842,-0.0212842,0.043,,9.70264e-05,9.70264e-05,2.27999e-211,9.70264e-05,9.70264e-05,2.27999e-211,9.70264e-05,9.70264e-05,2.27999e-211,9.70264e-05,9.70264e-05,2.27999e-211
-0.0217832,-0.0217832,0.044,,9.62454e-05,9.62454e-05,2.26964e-211,9.62454e-05,9.62454e-05,2.26964e-211,9.62454e-05,9.62454e-05,2.26964e-211,9.62454e-05,9.62454e-05,2.26964e-211
-0.0222823,-0.0222823,0.045,,9.55359e-05,9.55359e-05,2.26019e-211,9.55359e-05,9.55359e-05,2.26019e-211,9.55359e-05,9.55359e-05,2.26019e-211,9.55359e-05,9.55359e-05,2.26019e-211
-0.0227815,-0.0227815,0.046,,9.48909e-05,9.48909e-05,2.25157e-211,9.48909e-05,9.48909e-05,2.25157e-211,9.48909e-05,9.48909e-05,2.25157e-211,9.48909e-05,9.48909e-05,2.25157e-211
-0.0232807,-0.0232807,0.047,,9.43044e-05,9.43044e-05,2.24369e-211,9.43044e-05,9.43044e-05,2.24369e-211,9.43044e-05,9.43044e-05,2.24369e-211,9.43044e-05,9.43044e-05,2.24369e-211
-0.02378,-0.02378,0.048,,9.37707e-05,9.37707e-05,2.2365e-211,9.37707e-05,9.37707e-05,2.2365e-211,9.37707e-05,9.37707e-05,2.2365e-211,9.37707e-05,9.37707e-05,2.2365e-211
-0.0242794,-0.0242794,0.049,,9.32849e-05,9.32849e-05,2.22994e-211,9.32849e-05,9.32849e-05,2.22994e-211,9.32849e-05,9.32849e-05,2.22994e-211,9.32849e-05,9.32849e-05,2.22994e-211
-0.0247788,-0.0247788,0.05,,9.28424e-05,9.28424e-05,2.22394e-211,9.28424e-05,9.28424e-05,2.22394e-211,9.28424e-05,9.28424e-05,2.22394e-211,9.28424e-05,9.28424e-05,2.22394e-211
-0.0252782,-0.0252782,0.051,,9.24392e-05,9.24392e-05,2.21846e-211,9.24392e-05,9.24392e-05,2.21846e-211,9.24392e-05,9.24392e-05,2.21846e-211,9.24392e-05,9.24392e-05,2.21846e-211
-0.0257777,-0.0257777,0.052,,9.20718e-05,9.20718e-05,2.21345e-211,9.20718e-05,9.20718e-05,2.21345e-211,9.20718e-05,9.20718e-05,2.21345e-211,9.20718e-05,9.20718e-05,2.21345e-211
-0.0262772,-0.0262772,0.053,,9.17368e-05,9.17368e-05,2.20888e-211,9.17368e-05,9.17368e-05,2.20888e-211,9.17368e-05,9.17368e-05,2.20888e-211,9.17368e-05,9.17368e-05,2.20888e-211
-0.0267768,-0.0267768,0.054,,9.14314e-05,9.14314e-05,2.20469e-211,9.14314e-05,9.14314e-05,2.20469e-211,9.14314e-05,9.14314e-05,2.20469e-211,9.14314e-05,9.14314e-05,2.20469e-211
-0.0272764,-0.0272764,0.055,,9.11527e-05,9.11527e-05,2.20087e-211,9.11527e-05,9.11527e-05,2.20087e-211,9.11527e-05,9.11527e-05,2.20087e-211,9.11527e-05,9.11527e-05,2.20087e-211
-0.0277761,-0.0277761,0.056,,9.08984e-05,9.08984e-05,2.19738e-211,9.08984e-05,9.08984e-05,2.19738e-211,9.08984e-05,9.08984e-05,2.19738e-211,9.08984e-05,9.08984e-05,2.19738e-211
-0.0282758,-0.0282758,0.057,,9.06664e-05,9.06664e-05,2.19419e-211,9.06664e-05,9.06664e-05,2.19419e-211,9.06664e-05,9.06664e-05,2.19419e-211,9.06664e-05,9.06664e-05,2.19419e-211
-0.0287755,-0.0287755,0.058,,9.04545e-05,9.04545e-05,2.19127e-211,9.04545e-05,9.04545e-05,2.19127e-211,9.04545e-05,9.04545e-05,2.19127e-211,9.04545e-05,9.04545e-05,2.19127e-211
-0.0292752,-0.0292752,0.059,,9.02611e-05,9.02611e-05,2.1886e-211,9.02611e-05,9.02611e-05,2.1886e-211,9.02611e-05,9.02611e-05,2.1886e-211,9.02611e-05,9.02611e-05,2.1886e-211
-0.0297749,-0.0297749,0.06,,9.00845e-05,9.00845e-05,2.18616e-211,9.00845e-05,9.00845e-05,2.18616e-211,9.00845e-05,9.00845e-05,2.18616e-211,9.00845e-05,9.00845e-05,2.18616e-211
-0.0302747,-0.0302747,0.061,,8.99232e-05,8.99232e-05,2.18393e-211,8.99232e-05,8.99232e-05,2.18393e-211,8.99232e-05,8.99232e-05,2.18393e-211,8.99232e-05,8.99232e-05,2.18393e-211
-0.0307745,-0.0307745,0.062,,8.97759e-05,8.97759e-05,2.18189e-211,8.97759e-05,8.97759e-05,2.18189e-211,8.97759e-05,8.97759e-05,2.18189e-211,8.97759e-05,8.97759e-05,2.18189e-211
-0.0312743,-0.0312743,0.063,,8.96413e-05,8.96413e-05,2.18002e-211,8.96413e-05,8.96413e-05,2.18002e-211,8.96413e-05,8.96413e-05,2.18002e-211,8.96413e-05,8.96413e-05,2.18002e-211
-0.0317741,-0.0317741,0.064,,8.95183e-05,8.95183e-05,2.17832e-211,8.95183e-05,8.95183e-05,2.17832e-211,8.95183e-05,8.95183e-05,2.17832e-211,8.95183e-05,8.95183e-05,2.17832e-211
-0.032274,-0.032274,0.065,,8.9406e-05,8.9406e-05,2.17676e-211,8.9406e-05,8.9406e-05,2.17676e-211,8.9406e-05,8.9406e-05,2.17676e-211,8.9406e-05,8.9406e-05,2.17676e-211
-0.0327738,-0.0327738,0.066,,8.93033e-05,8.93033e-05,2.17533e-211,8.93033e-05,8.93033e-05,2.17533e-211,8.93033e-05,8.93033e-05,2.17533e-211,8.93033e-05,8.93033e-05,2.17533e-211
-0.0332737,-0.0332737,0.067,,8.92094e-05,8.92094e-05,2.17402e-211,8.92094e-05,8.92094e-05,2.17402e-211,8.92094e-05,8.92094e-05,2.17402e-211,8.92094e-05,8.92094e-05,2.17402e-211
-0.0337736,-0.0337736,0.068,,8.91236e-05,8.91236e-05,2.17283e-211,8.91236e-05,8.91236e-05,2.17283e-211,8.91236e-05,8.91236e-05,2.17283e-211,8.91236e-05,8.91236e-05,2.17283e-211
-0.0342734,-0.0342734,0.069,,8.90452e-05,8.90452e-05,2.17174e-211,8.90452e-05,8.90452e-05,2.17174e-211,8.90452e-05,8.90452e-05,2.17174e-211,8.90452e-05,8.90452e-05,2.17174e-211
-0.0347733,-0.0347733,0.07,,8.89735e-05,8.89735e-05,2.17074e-211,8.89735e-05,8.89735e-05,2.17074e-211,8.89735e-05,8.89735e-05,2.17074e-211,8.89735e-05,8.89735e-05,2.17074e-211
-0.0352732,-0.0352732,0.071,,8.8908e-05,8.8908e-05,2.16983e-211,8.8908e-05,8.8908e-05,2.16983e-211,8.8908e-05,8.8908e-05,2.16983e-211,8.8908e-05,8.8908e-05,2.16983e-211
-0.0357732,-0.0357732,0.072,,8.88481e-05,8.88481e-05,2.16899e-211,8.88481e-05,8.88481e-05,2.16899e-211,8.88481e-05,8.88481e-05,2.16899e-211,8.88481e-05,8.88481e-05,2.16899e-211
-0.0362731,-0.0362731,0.073,,8.87933e-05,8.87933e-05,2.16823e-211,8.87933e-05,8.87933e-05,2.16823e-211,8.87933e-05,8.87933e-05,2.16823e-211,8.87933e-05,8.87933e-05,2.16823e-211
-0.036773,-0.036773,0.074,,8.87432e-05,8.87432e-05,2.16753e-211,8.87432e-05,8.87432e-05,2.16753e-211,8.87432e-05,8.87432e-05,2.16753e-211,8.87432e-05,8.87432e-05,2.16753e-211
-0.0372729,-0.0372729,0.075,,8.86974e-05,8.86974e-05,2.16689e-211,8.86974e-05,8.86974e-05,2.16689e-211,8.86974e-05,8.86974e-05,2.16689e-211,8.86974e-05,8.86974e-05,2.16689e-211
-0.0377729,-0.0377729,0.076,,8.86555e-05,8.86555e-05,2.16631e-211,8.86555e-05,8.86555e-05,2.16631e-211,8.86555e-05,8.86555e-05,2.16631e-211,8.86555e-05,8.86555e-05,2.16631e-211
-0.0382728,-0.0382728,0.077,,8.86172e-05,8.86172e-05,2.16577e-211,8.86172e-05,8.86172e-05,2.16577e-211,8.86172e-05,8.86172e-05,2.16577e-211,8.86172e-05,8.86172e-05,2.16577e-211
-0.0387728,-0.0387728,0.078,,8.85822e-05,8.85822e-05,2.16528e-211,8.85822e-05,8.85822e-05,2.16528e-211,8.85822e-05,8.85822e-05,2.16528e-211,8.85822e-05,8.85822e-05,2.16528e-211
-0.0392727,-0.0392727,0.079,,8.85502e-05,8.85502e-05,2.16484e-211,8.85502e-05,8.85502e-05,2.16484e-211,8.85502e-05,8.85502e-05,2.16484e-211,8.85502e-05,8.85502e-05,2.16484e-211
-0.0397727,-0.0397727,0.08,,8.85209e-05,8.85209e-05,2.16443e-211,8.85209e-05,8.85209e-05,2.16443e-211,8.85209e-05,8.85209e-05,2.16443e-211,8.85209e-05,8.85209e-05,2.16443e-211
-0.0402726,-0.0402726,0.081,,8.84941e-05,8.84941e-05,2.16405e-211,8.84941e-05,8.84941e-05,2.16405e-211,8.84941e-05,8.84941e-05,2.16405e-211,8.84941e-05,8.84941e-05,2.16405e-211
-0.0407726,-0.0407726,0.082,,8.84695e-05,8.84695e-05,2.16371e-211,8.84695e-05,8.84695e-05,2.16371e-211,8.84695e-05,8.84695e-05,2.16371e-211,8.84695e-05,8.84695e-05,2.16371e-211
-0.0412726,-0.0412726,0.083,,8.84471e-05,8.84471e-05,2.1634e-211,8.84471e-05,8.84471e-05,2.1634e-211,8.84471e-05,8.84471e-05,2.1634e-211,8.84471e-05,8.84471e-05,2.1634e-211
-0.0417725,-0.0417725,0.084,,8.84266e-05,8.84266e-05,2.16311e-211,8.84266e-05,8.84266e-05,2.16311e-211,8.84266e-05,8.84266e-05,2.16311e-211,8.84266e-05,8.84266e-05,2.16311e-211
-0.0422725,-0.0422725,0.085,,8.84079e-05,8.84079e-05,2.16285e-211,8.84079e-05,8.84079e-05,2.16285e-211,8.84079e-05,8.84079e-05,2.16285e-211,8.84079e-05,8.84079e-05,2.16285e-211
-0.0427725,-0.0427725,0.086,,8.83907e-05,8.83907e-05,2.16261e-211,8.83907e-05,8.83907e-05,2.16261e-211,8.83907e-05,8.83907e-05,2.16261e-211,8.83907e-05,8.83907e-05,2.16261e-211
-0.0432725,-0.0432725,0.087,,8.8375e-05,8.8375e-05,2.16239e-211,8.8375e-05,8.8375e-05,2.16239e-211,8.8375e-05,8.8375e-05,2.16239e-211,8.8375e-05,8.8375e-05,2.16239e-211
-0.0437724,-0.0437724,0.088,,8.83607e-05,8.83607e-05,2.16219e-211,8.83607e-05,8.83607e-05,2.16219e-211,8.83607e-05,8.83607e-05,2.16219e-211,8.83607e-05,8.83607e-05,2.16219e-211
-0.0442724,-0.0442724,0.089,,8.83476e-05,8.83476e-05,2.162e-211,8.83476e-05,8.83476e-05,2.162e-211,8.83476e-05,8.83476e-05,2.162e-211,8.83476e-05,8.83476e-05,2.162e-211
-0.0447724,-0.0447724,0.09,,8.83356e-05,8.83356e-05,2.16184e-211,8.83356e-05,8.83356e-05,2.16184e-211,8.83356e-05,8.83356e-05,2.16184e-211,8.83356e-05,8.83356e-05,2.16184e-211
-0.0452724,-0.0452724,0.091,,8.83246e-05,8.83246e-05,2.16168e-211,8.83246e-05,8.83246e-05,2.16168e-211,8.83246e-05,8.83246e-05,2.16168e-211,8.83246e-05,8.83246e-05,2.16168e-211
-0.0457724,-0.0457724,0.092,,8.83145e-05,8.83145e-05,2.16154e-211,8.83145e-05,8.83145e-05,2.16154e-211,8.83145e-05,8.83145e-05,2.16154e-211,8.83145e-05,8.83145e-05,2.16154e-211
-0.0462724,-0.0462724,0.093,,8.83053e-05,8.83053e-05,2.16141e-211,8.83053e-05,8.83053e-05,2.16141e-211,8.83053e-05,8.83053e-05,2.16141e-211,8.83053e-05,8.83053e-05,2.16141e-211
-0.0467723,-0.0467723,0.094,,8.82969e-05,8.82969e-05,2.16129e-211,8.82969e-05,8.82969e-05,2.16129e-211,8.82969e-05,8.82969e-05,2.16129e-211,8.82969e-05,8.82969e-05,2.16129e-211
-0.0472723,-0.0472723,0.095,,8.82892e-05,8.82892e-05,2.16119e-211,8.82892e-05,8.82892e-05,2.16119e-211,8.82892e-05,8.82892e-05,2.16119e-211,8.82892e-05,8.82892e-05,2.16119e-211
-0.0477723,-0.0477723,0.096,,8.82822e-05,8.82822e-05,2.16109e-211,8.82822e-05,8.82822e-05,2.16109e-211,8.82822e-05,8.82822e-05,2.16109e-211,8.82822e-05,8.82822e-05,2.16109e-211
-0.0482723,-0.0482723,0.097,,8.82758e-05,8.82758e-05,2.161e-211,8.82758e-05,8.82758e-05,2.161e-211,8.82758e-05,8.82758e-05,2.161e-211,8.82758e-05,8.82758e-05,2.161e-211
-0.0487723,-0.0487723,0.098,,8.82699e-05,8.82699e-05,2.16092e-211,8.82699e-05,8.82699e-05,2.16092e-211,8.82699e-05,8.82699e-05,2.16092e-211,8.82699e-05,8.82699e-05,2.16092e-211
-0.0492723,-0.0492723,0.099,,8.82645e-05,8.82645e-05,2.16084e-211,8.82645e-05,8.82645e-05,2.16084e-211,8.82645e-05,8.82645e-05,2.16084e-211,8.82645e-05,8.82645e-05,2.16084e-211
